dbh	SpCode	Sex	Flowers	CII
149	Viroob	0	0	1
210	Viroob	0	0	3
320	Viroob	0	0	4
359	Viroob	0	0	4
146	Viroob	0	0	3
124	Viroob	0	0	1
268	Viroob	0	0	3
168	Viroob	0	0	2
140	Viroob	0	0	2
115	Viroob	0	0	1
390	Viroob	0	0	4
100	viroob	0	0	3
168	Viroob	0	0	2
393	Viroob	0	0	5
304	Viroob	0	0	3
126	Viroob	0	0	1
111	Viroob	0	0	3
206	Viroob	0	0	3
136	Viroob	0	0	2
502	Viroob	0	0	3
123	Viroob	0	0	1
122	Viroob	0	0	1
105	Viroob	0	0	1
109	Viroob	0	0	1
112	Viroob	0	0	2
102	Viroob	0	0	1
150	Viroob	0	0	2
163	Viroob	0	0	2
145	Viroob	0	0	3
118	Viroob	0	0	1
175	viropa	0	0	NA
260	viropa	0	0	2
134	viropa	0	0	2
105	viropa	0	0	4
107	viropa	0	0	1
125	viropa	0	0	2
115	viropa	0	0	1
321	viropa	0	0	3
169	viropa	0	0	1
170	viropa	0	0	2
300	viropa	0	0	4
142	viropa	0	0	3
192	viropa	0	0	1
154	viropa	0	0	1
221	viropa	0	0	3
123	viropa	0	0	1
286	viropa	0	0	4
149	viropa	0	0	1
135	viropa	0	0	1
405	viropa	0	0	4
166	viropa	0	0	1
132	viropa	0	0	1
222	iryaal	F	0	3
135	iryaal	F	0	2
53	iryapa	F	0	4
16	iryapa	F	0	1
27	iryapa	F	0	2
854	virodu	F	0	NA
232	virodu	F	0	3
220	virodu	F	0	2
355	virodu	F	0	5
360	virodu	F	0	4
198	Viroob	F	0	4
310	Viroob	F	0	3
476	Viroob	F	0	NA
270	Viroob	F	0	NA
341	Viroob	F	0	5
359	Viroob	F	0	5
260	Viroob	F	0	4
145	Viroob	F	0	2
228	Viroob	F	0	3
286	viropa	F	0	NA
438	viropa	F	0	2
35	iryapa	M	0	1
474	virodu	NA	0	NA
245	virodu	NA	0	3
117	virodu	NA	0	3
34	iryapa	0	1	1
37	iryapa	0	1	2
24	iryapa	0	1	1
30	iryapa	F	1	1
31	iryapa	F	1	2
19	iryapa	F	1	1
22	iryapa	F	1	2
19	iryapa	F	1	2
23	iryapa	F	1	2
19	iryapa	F	1	1
19	iryapa	F	1	1
19	iryapa	F	1	1
13	iryapa	F	1	1
27	iryapa	M	1	1
17	iryapa	M	1	2
49	iryapa	M	1	3
28	iryapa	M	1	1
19	iryapa	M	1	2
31	iryapa	M	1	1
54	iryapa	M	1	1
17	iryapa	M	1	1
25	iryapa	M	1	1
18	iryapa	M	1	1
22	iryapa	M	1	1
30	iryapa	M	1	1
22	iryapa	0	1	1
38	iryapa	0	1	1
14	iryapa	F	1	3
30	iryapa	F	1	1
26	iryapa	F	1	1.5
23	iryapa	F	1	1
29	iryapa	F	1	1
14	iryapa	F	1	1
25	iryapa	F	1	1
20	iryapa	M	1	1
27	iryapa	M	1	1
40	iryapa	M	1	1.5
25	iryapa	M	1	1
48	iryapa	M	1	1
18	iryapa	0	1	1.5
53	iryapa	0	1	1
57	iryapa	F	1	1
36	iryapa	F	1	1
12	iryapa	M	1	1.5
34	iryapa	M	1	1
30	iryapa	M	1	1
31	iryapa	M	1	1
13	iryapa	M	1	1
24	iryapa	M	1	2
26	iryapa	M	1	1
21	iryapa	M	1	1
35	iryapa	0	1	1.5
24	iryapa	F	1	1
25	iryapa	M	1	1
34	iryapa	M	1	3
31	iryapa	M	1	1
26	iryapa	M	1	1
30	iryapa	M	1	1
13	iryapa	M	1	1
29	iryapa	F	1	1.5
30	iryapa	F	1	1
50	iryapa	F	1	1
39	iryapa	F	1	1
47	iryapa	F	1	1
24	iryapa	F	1	2
48	iryapa	F	1	1
54	iryapa	M	1	2
23	iryapa	M	1	3
24	iryapa	M	1	1
50	iryapa	M	1	3
29	iryapa	M	1	1
43	iryapa	M	1	1
37	iryapa	M	1	2
65	iryapa	M	1	1
21	iryapa	M	1	1
18	iryapa	F	1	2
38	iryapa	F	1	1
27	iryapa	M	1	2
33	iryapa	M	1	1
40	iryapa	F	1	1
46	iryapa	F	1	1
38	iryapa	F	1	1
40	iryapa	M	1	1
15	iryapa	M	1	1
46	iryapa	M	1	1
14	iryapa	M	1	2
29	iryapa	F	1	1
37	iryapa	F	1	1
80	iryapa	F	1	1
18	iryapa	M	1	1
37	iryapa	F	1	1
20	iryapa	F	1	1.5
29	iryapa	F	1	3
34	iryapa	F	1	1
33	iryapa	F	1	1
40	iryapa	F	1	1
46	iryapa	F	1	2
40	iryapa	M	1	1
28	iryapa	M	1	1
48	iryapa	M	1	1.5
48	iryapa	M	1	1
48	iryapa	M	1	1
31	iryapa	M	1	1
26	iryapa	M	1	1
27	iryapa	M	1	1
30	iryapa	M	1	2
30	iryapa	M	1	2
27	iryapa	M	1	2
44	iryapa	F	1	1
26	iryapa	M	1	2
21	iryapa	F	1	1
55	iryapa	F	1	2
20	iryapa	M	1	2
33	iryapa	M	1	2
30	iryapa	M	1	4
18	iryapa	0	1	1
31	iryapa	F	1	1
30	iryapa	F	1	1
33	iryapa	F	1	1
15	iryapa	F	1	1
43	iryapa	F	1	1
36	iryapa	F	1	1
59	iryapa	F	1	1
43	iryapa	F	1	1
39	iryapa	F	1	2
53	iryapa	M	1	1
37	iryapa	M	1	1
79	iryapa	M	1	1
17	iryapa	F	1	3
33	iryapa	F	1	1
50	iryapa	F	1	1
44	iryapa	M	1	2
30	iryapa	M	1	1
39	iryapa	M	1	2
46	iryapa	M	1	1
55	iryapa	M	1	2
29	iryapa	F	1	1
36	iryapa	F	1	1
27	iryapa	M	1	2
43	iryapa	F	1	2
61	iryapa	F	1	1
22	iryapa	F	1	1
42	iryapa	F	1	1
29	iryapa	F	1	1
48	iryapa	F	1	1
54	iryapa	F	1	1
38	iryapa	F	1	1
29	iryapa	M	1	1
37	iryapa	M	1	1
49	iryapa	M	1	2
38	iryapa	M	1	1
33	iryapa	M	1	1
27	iryapa	M	1	1.5
36	iryapa	F	1	1
25	iryapa	F	1	3
41	iryapa	F	1	1
32	iryapa	M	1	3
25	iryapa	M	1	2
24	iryapa	M	1	3
57	iryapa	M	1	1
32	iryapa	M	1	1
37	iryapa	F	1	1
40	iryapa	F	1	3
29	iryapa	F	1	1
52	iryapa	M	1	1
49	iryapa	M	1	1
31	iryapa	M	1	3
35	iryapa	F	1	1
48	iryapa	F	1	1
40	iryapa	F	1	1
37	iryapa	F	1	1
57	iryapa	F	1	2
36	iryapa	M	1	1
36	iryapa	M	1	1
32	iryapa	M	1	1
29	iryapa	M	1	1
67	iryapa	M	1	1
48	iryapa	M	1	1
81	iryapa	M	1	2
33	iryapa	M	1	1
44	iryapa	M	1	1
23	iryapa	M	1	2
22	iryapa	M	1	4
34	iryapa	M	1	2
43	iryapa	F	1	1
48	iryapa	M	1	1
64	iryapa	M	1	1
77	iryapa	F	1	1
39	iryapa	F	1	2
25	iryapa	F	1	1
36	iryapa	M	1	1.5
65	iryapa	M	1	1
24	iryapa	M	1	2
47	iryapa	M	1	1
38	iryapa	M	1	2
52	iryapa	F	1	1
44	iryapa	F	1	1
80	iryapa	F	1	1
46	iryapa	M	1	1.5
39	iryapa	M	1	1
41	iryapa	M	1	2
52	iryapa	M	1	1
46	iryapa	M	1	3
41	iryapa	F	1	1
47	iryapa	F	1	2
62	iryapa	F	1	3
28	iryapa	M	1	3
24	iryapa	M	1	2
32	iryapa	F	1	2
